label,tweet
fear,Lebih menyeramkan kalo punya grup WA keluarga yg isinya sharing2 hadist & ayat Al-Qur'an DAN grup WA lingkungan paroki gereja.... Serem kalo salah reply
joy,'Hepibesdey canteeeekk [USERNAME] panjang umur
joy,'Jumat lalu nonton inih! Selain tertarik settingnya yg di Jogja
joy,Nyante dulu.. Sruput kopi biar tambah bijak...
love,'Happy annyversarry yg pertama kalinya .. Trsrah org mau blng apa
sadness,'beli kaos banyak dengan ukuran yg udah downgrade
love,'Pada saat kamu menangis merengek meminta boneka atau mainan baru
anger,'[USERNAME] tolong aplikasinya diberesin. Saya tadi pesan
sadness,'Percaya kata lelaki itu
sadness,ada saatnya sakit hati itu kita nikmatin dengan cara kita. menangis salah satunya. gembira pun bisa jadi alternatif lain. yang terpenting semua itu bisa kita lewatin walaupun gagal.
joy,Penyelamat saat laper ya cuma Pop Mie sob. Enaknya bikin nagih dan ga bikin baper. Makanya kuy nyetok Pop Mie dari sekarang biar serunya lanjut terus [URL]
sadness,'Semalem pake baff
sadness,Bagi rapot itu batin haha misalnya nih indikator kepercayaan diri teman kecil perlu dibimbing lebih baik lagi. Di satu sisi ini jadi pengingat dan cambukan kalo aku pun krisis kepercayaan diri hehe
joy,'Belajar bilang Alhamdulillah kalo dikasih masa masa yang sulit. Alhamdulillah Allah masih sayang
anger,'Suka heran sama ukhti yang hobi nyindir dan ngurusin hidup orang lain apalagi ngomentarin hidup orang bawa-bawa visi misi bersama
anger,klo milih pemimpin bukan petahana nanti jadinya gub tidak tahu & males kerja spt ini [URL]
joy,'Matur nuwun pak Heru Sudjatmoko atas pengabdian dan pelayanan panjenengan terhadap Jawa Tengah. Semoga selalu diberikan kesehatan
anger,'Seharusnya yg harus marah itu JKT58 (yg milih)
anger,'apapun bentuknya pelecehan tetaplah pelecehan
anger,Momen di mana kamu merasa seperti semua yang kamu inginkan adalah meluapkan kemarahanmu tanpa ampun. ð¤ð¢ #UnleashTheAnger
fear,Ya gimana. Diajak jalan aja gatau kenapa suka ada rasa takut. Seringnya nolak. Mungkin itu yang membuatku ga pernah bertahan lama hubungannya :/ ga pernah nyampe sebulan. Eee e e kalo di imvu sih paling lama berapa yak. Ya sama agun itu 3 bulan sama 2 bulan. Hmmm.
joy,'Mau kirim salam buat [USERNAME] yang makin hari makin nyantol di hati
sadness,[USERNAME] dari tadi pagi saya tidak bisa masuk web-nya. Jadwalnya saya dari jam 7-10. Tapi masuk web-nya aja engga bisa. Connection internet saya lancar padahal. Solusinya? [URL]
joy,'ke sushi tei cuma mau bikin boomerang sama tag location pamer daftar menu kek sambil mbatin 'dasar kismin
joy,'[USERNAME] Belajar melt and pour yuk ar.. Hahahaha hasilnya tetep cakep
sadness,Jam 3 pagi baru balik dr lokasi dan paginya langsung ngerjain beginian di kantor..bener2 karyawan berdedikasi tinggi
joy,'Bertahun binatang ini menjadi hitungan bagi para peminat pembenih ikan....Alhamdulillah sekarang lewat
anger,'Waktu kalian jd oposisi Era Pak Harto
sadness,'Setiap mendengar Lucas berbahasa Korea
joy,'eung . . aku si termasuk zonkies n receh ppl 
anger,Rasa amarah ini membuat darahku mendidih dan tak terkendali.
love,'Gua suka sama Sodara gua sendiri
fear,Aku dulu nemu ig nya dia. Pas dia lg liat camera gitu serem dah. Itu gatau pake softlens atau gimana tapi matanya tuh jd gede bgt
joy,'sangat bersyukur bisa mendoakan kakeknya
anger,'Kalau mewujudkan keadilan sosial hanya sebatas bangun infrastruktur ya cetek sekali pemikiranmu. Kamu jg harus tau infrastruktur dibangun dari hutang miliaran dollar
sadness,'Ada aja ya Yutuber
anger,'Syukurin sih apa yg lo dapetin
joy,'Buat saya
love,Cinta pada negeri yang membuat para pemuda mengobankan dirinya untuk bertempur mati matian di medan perang. Dan cinta pada bangsa pula yang membuat mereka bersedia melepaskan senjata dan menghentikan pertempuran.
joy,'Tuhan tidak memberi kita hati dan mulut untuk mengeluh dan mengomel
sadness,'Omelette Mie ter-pas banget
sadness,sudah 26hari i nangis terus tiap hari..mata tambah sipit aj..ud mao sebulan kematian jonghyun..hati ini rasanya hampa banget..i miss u so much..TT TT TT [URL]
anger,Momen di mana kamu merasa seperti amarahmu meresap ke dalam dirimu seperti racun. ð¢ð¤ #ToxicAnger
sadness,Momen di mana kamu merasa seperti kamu hanya bisa merenungkan tentang semua yang telah hilang dalam hidupmu. ð­ð #Losses
anger,yang penting tidak-ngejer2 cowok orang yeh padahal sudah jls ditolak mentah2
joy,PERSIBKU MENANG LAGI .. PERSIBKU MENANG LAGI .. Oooo ..Oooo ..Oooo .. Oooooooooo .. [USERNAME] #PERSIBDAY #pucuk #JUARA #awaydays #bantul #bobotohsaalamdunya #banggamengawalmu
fear,'Entah gatau kenapa
anger,beberapa hari yang lalu foto aku di posting salah satu akun Instagram milik bisnis transportasi kapal laut tanpa izin dan tidak mencantumkan si pemilik karya
sadness,1bln 2x putus berapa lama memang kamu jadian dia labil sangat ki bentar2 marahan begitu deh :
sadness,Ketika lagu-lagu yang dulu membawa kebahagiaan sekarang hanya mengingatkan pada masa-masa yang sulit. ðµð¢ #MelancholicTunes
sadness,'Di Dm Marco Simic pake kata-kata senonoh marah
sadness,@_sabranglor Mungkin ada peneliti yang mau riset kenapa di partai tertentu banyak yg terlibat korupsi... Kalau moral sih kurang lebih 11 12.. Apa jumlah yg harus disetor ke partai terlalu besar
love,'Seperti dulu aku mencintaimu
fear,'Tidak disemua tempat kita boleh melaksanakan sholat
joy,'Dulu sahur
fear,'/rlt/ minta saran dong
sadness,'Sampe 4 tahun
fear,'Inilah salah satu sebab kenapa aku mending nggak usah punya anak. Cuma suka anak kecil selama masih lucu aja. Ya tapi kalo dikasih makan
love,'aku sayang semua mutualku
